"SID","LocalPath","LocalComputerName","LocalUsername","JumpCloudUserName"
"S-1-5-21-990473482-3039681256-539401488-11782","C:\Users\I1867","IT002544","INNOVACCER\I1867",""
"S-1-5-21-990473482-3039681256-539401488-12832","C:\Users\I2511","IT002550","INNOVACCER\I2511",""
"S-1-5-21-990473482-3039681256-539401488-11335","C:\Users\i1596","IT002552","INNOVACCER\I1596",""
"S-1-5-21-990473482-3039681256-539401488-11815","C:\Users\IN565","IT002558","INNOVACCER\IN565",""
"S-1-5-21-990473482-3039681256-539401488-12673","C:\Users\Boopathy.A.INNOVACCER","IT002560","INNOVACCER\I2433",""
"S-1-5-21-990473482-3039681256-539401488-11816","C:\Users\I1869","IT002560","S-1-5-21-990473482-3039681256-539401488-11816",""
"S-1-5-21-990473482-3039681256-539401488-12576","C:\Users\I2201","IT002562","INNOVACCER\I2201",""
"S-1-5-21-990473482-3039681256-539401488-11817","C:\Users\IN559","IT002562","INNOVACCER\IN559",""
"S-1-5-21-990473482-3039681256-539401488-12541","C:\Users\i2380","IT002563","INNOVACCER\I2380",""
"S-1-5-21-990473482-3039681256-539401488-9962","C:\Users\I1234","IT002565","INNOVACCER\I1234",""
"S-1-5-21-990473482-3039681256-539401488-12340","C:\Users\I2207","IT002565","INNOVACCER\I2207",""
"S-1-5-21-990473482-3039681256-539401488-12407","C:\Users\I2169","IT002566","INNOVACCER\I2169",""
"S-1-5-21-990473482-3039681256-539401488-11873","C:\Users\IN258","IT002566","INNOVACCER\IN258",""
"S-1-5-21-990473482-3039681256-539401488-10033","C:\Users\I1293","IT002567","INNOVACCER\I1293",""
"S-1-5-21-990473482-3039681256-539401488-11841","C:\Users\i1886","IT002569","INNOVACCER\I1886",""
"S-1-5-21-990473482-3039681256-539401488-11864","C:\Users\I1899","IT002573","INNOVACCER\I1899",""
"S-1-5-21-990473482-3039681256-539401488-11867","C:\Users\I1898","IT002576","INNOVACCER\I1898",""
"S-1-5-21-990473482-3039681256-539401488-11416","C:\Users\I1685","IT002584","INNOVACCER\I1685",""
"S-1-5-21-990473482-3039681256-539401488-11887","C:\Users\I1897","IT002585","INNOVACCER\I1897",""
"S-1-5-21-990473482-3039681256-539401488-11888","C:\Users\Jayraj.Singh.INNOVACCER","IT002586","S-1-5-21-990473482-3039681256-539401488-11888",""
"S-1-5-21-990473482-3039681256-539401488-1628","C:\Users\I0403","IT002589","INNOVACCER\I0403",""
"S-1-5-21-990473482-3039681256-539401488-11903","C:\Users\I1925","IT002595","INNOVACCER\I1925",""
"S-1-5-21-990473482-3039681256-539401488-12848","C:\Users\I2519","IT002601","INNOVACCER\I2519",""
"S-1-5-21-990473482-3039681256-539401488-11997","C:\Users\I1938","IT002604","INNOVACCER\I1938",""
"S-1-5-21-990473482-3039681256-539401488-12006","C:\Users\I1928","IT002606","INNOVACCER\I1928",""
"S-1-5-21-990473482-3039681256-539401488-9811","C:\Users\Vaishali.Mittal.INNOVACCER","IT002612","S-1-5-21-990473482-3039681256-539401488-9811",""
"S-1-5-21-990473482-3039681256-539401488-12804","C:\Users\I2501","IT002612","S-1-5-21-990473482-3039681256-539401488-12804",""
"S-1-5-21-990473482-3039681256-539401488-12050","C:\Users\I1974","IT002631","INNOVACCER\I1974",""
"S-1-5-21-990473482-3039681256-539401488-12052","C:\Users\I1973","IT002632","INNOVACCER\I1973",""
"S-1-5-21-990473482-3039681256-539401488-12882","C:\Users\i2548","IT002637","INNOVACCER\I2548",""
"S-1-5-21-990473482-3039681256-539401488-12875","C:\Users\I2540","IT002650","INNOVACCER\I2540",""
"S-1-5-21-990473482-3039681256-539401488-12839",,"IT002650","INNOVACCER\I2513",""
"S-1-5-21-990473482-3039681256-539401488-12102","C:\Users\I2019","IT002661","INNOVACCER\I2019",""
"S-1-5-21-990473482-3039681256-539401488-6044","C:\Users\I0764","IT002662","INNOVACCER\I0764",""
"S-1-5-21-990473482-3039681256-539401488-12874","C:\Users\I2537","IT002680","INNOVACCER\I2537",""
"S-1-5-21-990473482-3039681256-539401488-12871","C:\Users\i2536","IT002680","INNOVACCER\I2536",""
"S-1-5-21-990473482-3039681256-539401488-12141","C:\Users\I2041","IT002684","INNOVACCER\I2041",""
